570.000,571.996,18'04'47'' 2017-08-05
570.000,572.442,18'20'43'' 2017-08-05
570.000,1538.860,18'20'57'' 2017-08-05
570.000,1538.860,18'29'25'' 2017-08-05
570.000,1139.678,18'30'36'' 2017-08-05
570.000,571.984,18'30'43'' 2017-08-05
270.000,208.588,17'44'17'' 2017-08-11
270.000,242.736,18'03'51'' 2017-08-11
270.000,122.300,18'03'53'' 2017-08-11
270.000,230.522,18'03'55'' 2017-08-11
270.000,230.390,18'03'57'' 2017-08-11
270.000,230.566,18'03'59'' 2017-08-11
